Player Name,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Grenade Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammate / Round,Saved Teammates / Round,Rating 2.0
donk,3593,60.0%,2632,1.37,95.8,3.6,179,3917,0.92,0.20,0.67,0.11,0.16,1.38
m0NESY,2913,41.2%,2155,1.35,81.1,3.0,164,3637,0.80,0.13,0.59,0.10,0.12,1.27
XANTARES,2848,51.0%,2422,1.18,87.4,7.5,167,3765,0.76,0.24,0.64,0.10,0.12,1.24
malbsMd,3575,64.5%,3104,1.15,86.4,5.8,212,4509,0.79,0.21,0.69,0.11,0.11,1.24
smooya,2880,31.0%,2254,1.28,78.7,3.0,160,3663,0.79,0.14,0.62,0.10,0.13,1.22
w0nderful,4240,37.2%,3163,1.34,77.3,3.6,232,5442,0.78,0.12,0.58,0.09,0.14,1.22
dav1deuS,5004,54.1%,4325,1.16,85.7,4.4,292,6486,0.77,0.21,0.67,0.10,0.11,1.21
deko,4933,41.8%,3821,1.29,78.9,4.5,295,6394,0.77,0.16,0.60,0.09,0.11,1.21
nilo,5025,56.5%,4196,1.20,83.1,3.7,287,6362,0.79,0.19,0.66,0.10,0.13,1.20
EliGE,2747,53.8%,2389,1.15,85.5,4.8,159,3552,0.77,0.21,0.67,0.11,0.13,1.20
slaxz-,4407,32.7%,3343,1.32,73.8,3.8,262,5917,0.74,0.12,0.56,0.09,0.10,1.20
Lucaozy,4496,51.2%,3823,1.18,83.2,5.0,270,5928,0.76,0.20,0.64,0.09,0.10,1.20
insani,4479,56.3%,3882,1.15,83.2,4.8,265,5911,0.76,0.19,0.66,0.11,0.11,1.20
npl,5419,56.0%,4814,1.13,83.5,4.3,322,7167,0.76,0.22,0.67,0.12,0.13,1.20
NAF,2666,48.6%,2195,1.21,81.0,7.1,162,3661,0.73,0.21,0.60,0.10,0.11,1.19
HexT,3921,52.7%,3361,1.17,80.0,5.1,249,5313,0.74,0.19,0.63,0.12,0.13,1.19
junior,3881,31.4%,2976,1.30,74.8,3.4,241,5230,0.74,0.13,0.57,0.08,0.10,1.19
ADDICT,2600,57.3%,2201,1.18,80.0,6.1,163,3476,0.75,0.19,0.63,0.11,0.14,1.19
dea,2927,39.5%,2513,1.16,79.9,4.8,176,3893,0.75,0.19,0.65,0.11,0.12,1.18
dgt,3384,51.2%,2805,1.21,80.7,4.7,203,4525,0.75,0.19,0.62,0.08,0.11,1.18
MATYS,4625,64.3%,4160,1.11,84.4,4.0,264,5903,0.78,0.19,0.70,0.13,0.13,1.18
Magnojez,3136,56.4%,2920,1.07,84.7,6.5,197,4188,0.75,0.22,0.70,0.10,0.09,1.18
dumau,3202,47.5%,2789,1.15,81.4,4.9,195,4339,0.74,0.20,0.64,0.09,0.11,1.18
sl3nd,3452,30.4%,2822,1.22,77.1,6.4,212,4811,0.72,0.16,0.59,0.09,0.10,1.18
JBa,3204,56.5%,2706,1.18,78.7,5.0,197,4294,0.75,0.18,0.63,0.11,0.14,1.18
felps,4325,46.4%,3942,1.10,82.3,4.0,270,5758,0.75,0.21,0.68,0.10,0.09,1.17
ArtFr0st,3705,25.5%,2824,1.31,71.9,3.6,233,5142,0.72,0.11,0.55,0.08,0.11,1.17
Maka,5196,39.5%,4234,1.23,75.1,5.6,325,7177,0.72,0.15,0.59,0.10,0.10,1.17
jambo,4268,41.7%,3694,1.16,76.4,3.5,271,5920,0.72,0.16,0.62,0.10,0.11,1.17
nEMANHA,7218,54.1%,6930,1.04,87.1,7.1,439,9903,0.73,0.23,0.70,0.09,0.08,1.17
NiKo,2697,56.3%,2370,1.14,80.7,5.9,167,3695,0.73,0.20,0.64,0.09,0.11,1.17
Brehze,2792,58.9%,2409,1.16,79.0,4.1,179,3721,0.75,0.18,0.65,0.11,0.13,1.17
Twistzz,3200,59.5%,2740,1.17,79.2,5.0,196,4374,0.73,0.20,0.63,0.11,0.12,1.17
headtr1ck,3966,33.6%,3250,1.22,76.2,5.7,245,5430,0.73,0.17,0.60,0.10,0.12,1.16
HEN1,3730,33.2%,2938,1.27,73.1,4.8,256,5478,0.68,0.16,0.54,0.08,0.09,1.16
cxzi,3437,43.0%,3381,1.02,86.3,5.7,208,4642,0.74,0.25,0.73,0.12,0.09,1.16
nicoodoz,4622,46.4%,3921,1.18,77.7,5.4,264,6158,0.75,0.16,0.64,0.09,0.10,1.16
draken,2941,33.4%,2431,1.21,74.8,3.3,177,4026,0.73,0.14,0.60,0.09,0.08,1.16
frozen,3127,52.8%,2745,1.14,79.9,5.7,196,4441,0.70,0.21,0.62,0.09,0.11,1.16
Jimpphat,2601,54.4%,2145,1.21,76.0,4.0,162,3646,0.71,0.18,0.59,0.09,0.11,1.16
Woro2k,4262,37.4%,3610,1.18,78.7,4.0,249,5630,0.76,0.14,0.64,0.08,0.10,1.16
latto,3078,54.2%,2723,1.13,79.5,5.0,195,4339,0.71,0.19,0.63,0.10,0.10,1.16
KSCERATO,2810,51.1%,2444,1.15,79.6,7.0,181,4024,0.70,0.19,0.61,0.08,0.09,1.16
MartinezSa,3871,35.7%,3149,1.23,72.0,2.1,239,5305,0.73,0.11,0.59,0.09,0.10,1.16
Senzu,2838,61.0%,2562,1.11,79.8,4.6,177,3884,0.73,0.21,0.66,0.09,0.09,1.16
bLitz,2844,47.6%,2565,1.11,81.1,8.5,180,3962,0.72,0.23,0.65,0.09,0.09,1.16
r3salt,5414,60.5%,4883,1.11,81.3,5.2,332,7312,0.74,0.19,0.67,0.10,0.09,1.16
HeavyGod,2907,55.3%,2527,1.15,80.0,3.3,176,3937,0.74,0.17,0.64,0.08,0.12,1.16
DGL,3033,36.3%,2417,1.25,71.8,1.8,179,4084,0.74,0.10,0.59,0.09,0.12,1.15
broky,3175,37.0%,2668,1.19,74.9,3.7,191,4312,0.74,0.15,0.62,0.11,0.12,1.15
Sonic,3105,55.8%,2846,1.09,80.8,5.4,196,4229,0.73,0.22,0.67,0.12,0.13,1.15
venomzera,4892,60.0%,4506,1.09,78.1,4.0,313,6907,0.71,0.19,0.65,0.11,0.11,1.15
Jeorge,3704,52.0%,3368,1.10,79.2,6.4,241,5230,0.71,0.21,0.64,0.11,0.11,1.15
oskar,6278,34.6%,5218,1.20,76.7,4.9,376,8426,0.75,0.12,0.62,0.07,0.08,1.15
piriajr,3567,55.2%,3167,1.13,79.2,3.6,216,4879,0.73,0.17,0.65,0.08,0.09,1.15
ICY,2617,33.2%,2062,1.27,69.7,2.9,159,3635,0.72,0.10,0.57,0.08,0.12,1.15
lux,5649,52.4%,5251,1.08,79.9,6.4,359,7996,0.71,0.21,0.66,0.11,0.10,1.15
Krimbo,3305,51.2%,2723,1.21,74.9,6.8,211,4777,0.69,0.16,0.57,0.07,0.10,1.15
hazr,2549,56.6%,2400,1.06,80.5,5.9,163,3476,0.73,0.21,0.69,0.12,0.13,1.15
NertZ,3047,53.5%,2719,1.12,78.9,4.0,190,4190,0.73,0.17,0.65,0.08,0.10,1.15
oSee,3068,34.3%,2577,1.19,73.1,2.4,202,4338,0.71,0.13,0.59,0.11,0.11,1.15
decenty,4262,53.1%,3604,1.18,77.1,3.3,269,5818,0.73,0.17,0.62,0.08,0.12,1.15
torzsi,2781,34.3%,2236,1.24,72.2,3.2,171,3842,0.72,0.12,0.58,0.08,0.10,1.14
ewjerkz,3643,53.4%,3450,1.06,79.5,6.3,234,5105,0.71,0.20,0.68,0.12,0.11,1.14
ropz,3149,55.8%,2655,1.19,77.0,3.1,191,4312,0.73,0.14,0.62,0.07,0.09,1.14
Lucky,5594,45.9%,4645,1.20,74.1,3.8,356,7782,0.72,0.14,0.60,0.09,0.13,1.14
xfl0ud,3712,54.7%,3558,1.04,81.9,5.4,233,5179,0.72,0.22,0.69,0.10,0.10,1.14
biguzera,5597,54.2%,5273,1.06,79.7,6.4,359,7996,0.70,0.21,0.66,0.10,0.09,1.14
SunPayus,2670,35.1%,2213,1.21,72.3,2.9,169,3699,0.72,0.12,0.60,0.08,0.10,1.14
gbb,4477,48.9%,4113,1.09,78.7,6.4,277,6190,0.72,0.18,0.66,0.10,0.12,1.14
jottAAA,2685,57.5%,2423,1.11,81.6,3.2,160,3546,0.76,0.18,0.68,0.09,0.12,1.14
lattykk,2806,38.1%,2313,1.21,71.4,3.6,176,3945,0.71,0.12,0.59,0.10,0.10,1.14
reiko,5224,47.3%,4854,1.08,81.2,5.0,310,7059,0.74,0.20,0.69,0.10,0.14,1.14
FL1T,2972,49.9%,2806,1.06,79.8,8.7,197,4398,0.68,0.23,0.64,0.09,0.10,1.14
KENSI,5048,51.3%,4727,1.07,80.6,5.8,320,7022,0.72,0.22,0.67,0.10,0.11,1.14
togs,5341,49.3%,4553,1.17,76.5,4.6,331,7399,0.72,0.16,0.62,0.10,0.12,1.14
d1Ledez,4927,60.5%,4629,1.06,78.2,3.7,303,6822,0.72,0.18,0.68,0.12,0.12,1.14
xertioN,2763,52.3%,2650,1.04,80.6,5.6,171,3842,0.72,0.21,0.69,0.11,0.09,1.14
FaNg,2627,59.7%,2387,1.10,78.5,5.1,163,3557,0.74,0.19,0.67,0.10,0.12,1.14
misutaaa,3190,58.0%,3070,1.04,78.2,3.5,201,4490,0.71,0.19,0.68,0.13,0.12,1.13
PR,5139,53.6%,4677,1.10,78.4,5.1,332,7268,0.71,0.20,0.64,0.10,0.10,1.13
FL4MUS,2748,63.1%,2629,1.05,80.2,4.7,164,3730,0.74,0.20,0.70,0.10,0.11,1.13
Xant3r,2916,54.6%,2780,1.05,79.6,8.1,187,4152,0.70,0.23,0.67,0.10,0.10,1.13
saadzin,3642,38.4%,3063,1.19,73.3,3.0,233,5106,0.71,0.12,0.60,0.09,0.11,1.13
RCF,4246,32.1%,3628,1.17,73.2,3.2,262,5983,0.71,0.12,0.61,0.09,0.10,1.13
DemQQ,4698,57.6%,4276,1.10,77.8,5.9,293,6601,0.71,0.18,0.65,0.10,0.12,1.13
Swisher,3032,47.1%,2860,1.06,77.6,6.2,207,4439,0.68,0.23,0.64,0.11,0.10,1.13
REDSTAR,2621,54.5%,2287,1.15,75.5,5.4,158,3721,0.70,0.17,0.61,0.09,0.11,1.13
Zyphon,4589,56.8%,4173,1.10,77.9,3.7,272,6312,0.73,0.16,0.66,0.10,0.11,1.13
shg,2960,59.6%,2732,1.08,80.4,5.6,176,4081,0.73,0.20,0.67,0.11,0.13,1.13
koala,3662,52.4%,3138,1.17,75.9,3.3,235,5141,0.71,0.16,0.61,0.09,0.12,1.13
nqz,4616,31.5%,3693,1.25,69.9,3.3,306,6631,0.70,0.11,0.56,0.08,0.11,1.13
doc,5390,54.6%,5358,1.01,81.7,5.1,334,7483,0.72,0.21,0.72,0.13,0.12,1.13
mantuu,3522,31.5%,2970,1.19,71.6,3.5,218,4971,0.71,0.13,0.60,0.10,0.13,1.13
JDC,2675,51.7%,2515,1.06,80.4,4.5,162,3683,0.73,0.20,0.68,0.10,0.11,1.13
coldzera,3510,47.8%,3096,1.13,75.6,2.8,221,4954,0.71,0.16,0.62,0.09,0.10,1.13
hAdji,3099,53.8%,2842,1.09,76.9,4.4,195,4378,0.71,0.20,0.65,0.12,0.13,1.13
Patsi,2902,44.0%,2857,1.02,80.7,3.9,182,4057,0.72,0.21,0.70,0.12,0.10,1.13
TruNiQ,2853,57.4%,2612,1.09,79.2,4.3,177,3934,0.73,0.18,0.66,0.10,0.11,1.13
NEOFRAG,2783,56.7%,2683,1.04,81.3,8.3,173,3903,0.71,0.21,0.69,0.09,0.12,1.13
alex666,3444,47.6%,3198,1.08,78.8,4.2,222,4852,0.71,0.20,0.66,0.11,0.11,1.12
urban0,4335,57.7%,4216,1.03,79.7,5.8,277,6089,0.71,0.22,0.69,0.12,0.13,1.12
fr3nd,4816,35.6%,4006,1.20,72.5,3.2,291,6523,0.74,0.11,0.61,0.07,0.11,1.12
noway,3766,53.8%,3524,1.07,76.2,5.1,258,5416,0.70,0.20,0.65,0.11,0.10,1.12
Blytz,2692,54.4%,2540,1.06,78.8,3.9,175,3760,0.72,0.20,0.68,0.10,0.13,1.12
Plopski,2890,49.4%,2702,1.07,79.1,5.5,177,4060,0.71,0.21,0.67,0.10,0.11,1.12
sirah,5273,54.0%,4850,1.09,76.6,6.3,344,7531,0.70,0.20,0.64,0.10,0.12,1.12
Cabbi,5780,56.2%,5541,1.04,80.4,4.5,356,7782,0.74,0.18,0.71,0.10,0.10,1.12
910,2829,34.5%,2414,1.17,71.0,3.0,180,3962,0.71,0.12,0.61,0.09,0.10,1.12
cJ dA K1nG,3660,53.8%,3355,1.09,74.1,4.8,242,5217,0.70,0.19,0.64,0.13,0.13,1.12
spooke,5764,58.6%,5535,1.04,80.5,5.8,337,7940,0.73,0.19,0.70,0.10,0.10,1.12
cass1n,2580,28.7%,2174,1.19,69.3,3.8,165,3831,0.67,0.13,0.57,0.10,0.09,1.12
zevy,4224,38.3%,3624,1.17,72.3,3.1,270,5928,0.71,0.13,0.61,0.09,0.09,1.12
r1nkle,3159,34.4%,2766,1.14,74.4,3.8,196,4397,0.72,0.13,0.63,0.09,0.11,1.12
jackasmo,4258,61.2%,3937,1.08,78.5,5.1,271,5920,0.72,0.19,0.67,0.09,0.12,1.12
Jame,2912,29.7%,2343,1.24,66.0,4.0,197,4398,0.66,0.11,0.53,0.07,0.09,1.12
zont1x,2641,39.1%,2509,1.05,76.9,6.3,180,3935,0.67,0.21,0.64,0.10,0.10,1.12
Polt,2914,48.8%,2771,1.05,80.7,6.0,195,4179,0.70,0.23,0.66,0.09,0.10,1.11
BELCHONOKK,3156,48.5%,2961,1.07,79.2,3.3,199,4374,0.72,0.20,0.68,0.11,0.11,1.11
snow,5313,48.1%,4889,1.09,75.2,4.1,342,7629,0.70,0.17,0.64,0.11,0.12,1.11
yuurih,2747,45.8%,2573,1.07,79.1,5.4,181,4024,0.68,0.21,0.64,0.08,0.11,1.11
story,3560,35.6%,3154,1.13,72.0,4.1,234,5105,0.70,0.15,0.62,0.10,0.11,1.11
dare,3093,50.3%,3138,0.99,79.6,5.7,196,4264,0.73,0.23,0.74,0.14,0.13,1.11
maxster,2818,56.0%,2610,1.08,76.2,4.1,175,4012,0.70,0.17,0.65,0.11,0.11,1.11
exit,3923,50.9%,3513,1.12,73.8,6.5,265,5911,0.66,0.18,0.59,0.10,0.12,1.11
jkaem,4413,56.0%,4464,0.99,82.6,5.2,271,6152,0.72,0.23,0.73,0.10,0.09,1.11
MoDo,3146,32.9%,2693,1.17,69.2,2.5,199,4452,0.71,0.11,0.60,0.10,0.12,1.11
brutmonster,7030,33.7%,6275,1.12,72.6,3.8,441,9940,0.71,0.13,0.63,0.09,0.10,1.11
Porya,2787,52.1%,2597,1.07,78.5,5.3,175,3921,0.71,0.20,0.66,0.10,0.11,1.11
tomiko,5389,58.3%,5102,1.06,81.4,4.6,314,7063,0.76,0.18,0.72,0.10,0.13,1.11
dupreeh,2984,55.2%,2816,1.06,78.4,4.9,190,4135,0.72,0.20,0.68,0.10,0.11,1.11
zorte,3511,37.2%,3121,1.12,72.9,3.1,230,4912,0.71,0.13,0.64,0.08,0.11,1.11
luchov,4854,63.3%,4851,1.00,78.6,5.7,308,6853,0.71,0.20,0.71,0.13,0.12,1.11
gokushima,2891,34.5%,2524,1.15,71.5,2.9,179,4107,0.70,0.11,0.61,0.08,0.09,1.11
Forester,3115,56.6%,3013,1.03,77.7,4.4,194,4469,0.70,0.19,0.67,0.09,0.09,1.11
adamb,4610,57.4%,4492,1.03,76.7,3.4,298,6660,0.69,0.19,0.67,0.13,0.10,1.11
autimatic,3015,51.0%,2881,1.05,77.3,6.1,203,4341,0.69,0.20,0.66,0.11,0.10,1.11
chayJESUS,3279,53.2%,2993,1.10,73.6,5.4,225,4823,0.68,0.17,0.62,0.09,0.11,1.11
Flayy,2792,34.9%,2420,1.15,72.8,2.4,173,3836,0.73,0.12,0.63,0.09,0.13,1.11
tomaszin,4915,53.4%,4569,1.08,78.7,3.9,307,6830,0.72,0.19,0.67,0.10,0.12,1.11
nawwk,4309,40.3%,3476,1.24,68.8,2.4,270,6138,0.70,0.10,0.57,0.07,0.11,1.11
woxic,2559,35.1%,2238,1.14,70.3,3.3,167,3765,0.68,0.14,0.59,0.09,0.09,1.11
sugaR,3129,58.6%,2891,1.08,76.4,4.7,203,4451,0.70,0.19,0.65,0.09,0.10,1.11
hades,3319,31.5%,2884,1.15,71.8,2.6,208,4630,0.72,0.12,0.62,0.08,0.08,1.10
saffee,4045,31.7%,3550,1.14,70.2,3.0,265,5911,0.68,0.13,0.60,0.09,0.10,1.10
DSSj,2907,38.0%,2666,1.09,73.1,2.2,177,4109,0.71,0.13,0.65,0.11,0.10,1.10
s0und,4491,65.9%,4286,1.05,77.9,2.7,271,6225,0.72,0.16,0.69,0.11,0.12,1.10
khaN,2740,34.5%,2371,1.16,69.4,3.3,176,3916,0.70,0.12,0.61,0.10,0.12,1.10
sdy,2567,49.4%,2453,1.05,79.7,5.1,160,3646,0.70,0.21,0.67,0.10,0.11,1.10
AZUWU,4245,58.0%,4185,1.01,76.8,4.9,277,6126,0.69,0.19,0.68,0.13,0.11,1.10
Wicadia,2800,53.6%,2696,1.04,77.6,4.5,172,3881,0.72,0.18,0.69,0.11,0.11,1.10
Burmylov,3949,37.5%,3604,1.10,71.1,3.3,261,5721,0.69,0.14,0.63,0.11,0.11,1.10
juanflatroo,3719,61.5%,3705,1.00,79.7,5.0,227,5090,0.73,0.20,0.73,0.12,0.12,1.10
hyped,4563,28.2%,4060,1.12,72.3,2.3,286,6242,0.73,0.11,0.65,0.11,0.11,1.10
hardzao,4259,52.4%,3928,1.08,74.5,4.9,288,6350,0.67,0.19,0.62,0.09,0.10,1.10
Markoś,2739,32.3%,2473,1.11,73.4,3.2,170,3976,0.69,0.14,0.62,0.09,0.10,1.10
shalfey,4268,47.8%,4016,1.06,76.4,4.4,274,6140,0.70,0.18,0.65,0.09,0.09,1.10
shz,2734,51.9%,2545,1.07,75.9,3.8,177,3975,0.69,0.19,0.64,0.09,0.10,1.10
CRUC1AL,3729,33.2%,3357,1.11,72.3,4.0,245,5417,0.69,0.14,0.62,0.10,0.13,1.10
SHOCK,5666,56.1%,5353,1.06,75.6,4.0,366,8224,0.69,0.17,0.65,0.08,0.08,1.09
kraghen,3845,49.6%,3857,1.00,78.1,7.0,252,5593,0.69,0.21,0.69,0.11,0.11,1.09
glowiing,4612,54.8%,4562,1.01,77.1,6.6,306,6878,0.67,0.21,0.66,0.11,0.11,1.09
Lucky,4640,45.2%,4447,1.04,75.4,7.5,319,7057,0.66,0.22,0.63,0.12,0.12,1.09
hampus,3245,39.3%,3257,1.00,78.1,5.7,213,4806,0.68,0.22,0.68,0.10,0.09,1.09
electroNic,2918,48.9%,2897,1.01,77.5,4.6,189,4219,0.69,0.20,0.69,0.12,0.11,1.09
forsyy,4329,29.9%,3753,1.15,68.1,2.6,293,6486,0.67,0.12,0.58,0.09,0.10,1.09
reck,3023,54.2%,2787,1.08,72.7,4.5,207,4439,0.68,0.19,0.63,0.10,0.11,1.09
WolfY,3151,36.1%,2822,1.12,70.4,3.4,205,4518,0.70,0.13,0.62,0.10,0.12,1.09
clax,4587,57.6%,4237,1.08,73.6,4.6,299,6735,0.68,0.16,0.63,0.10,0.11,1.09
naitte,5153,60.7%,5287,0.97,78.9,6.1,334,7350,0.70,0.21,0.72,0.12,0.10,1.09
Djoko,4886,63.2%,4864,1.00,75.6,5.6,320,7078,0.69,0.20,0.69,0.14,0.13,1.09
Altekz,5198,52.6%,4944,1.05,75.8,6.5,338,7719,0.67,0.19,0.64,0.09,0.10,1.09
roeJ,3128,57.3%,3065,1.02,76.4,5.2,202,4526,0.69,0.20,0.68,0.10,0.11,1.09
bnox,6683,54.6%,6580,1.02,76.9,5.1,437,9820,0.68,0.19,0.67,0.10,0.09,1.09
danistzz,3329,51.2%,3109,1.07,74.6,2.7,215,4670,0.71,0.15,0.67,0.10,0.12,1.09
snav,2996,49.3%,2909,1.03,75.9,6.0,199,4353,0.69,0.21,0.67,0.12,0.13,1.09
synyx,2894,54.9%,2755,1.05,75.0,3.8,178,4097,0.71,0.17,0.67,0.12,0.13,1.09
rdnzao,5041,53.3%,4854,1.04,74.0,4.6,333,7462,0.68,0.18,0.65,0.12,0.14,1.09
arrozdoce,3475,58.0%,3315,1.05,74.7,4.7,234,5105,0.68,0.17,0.65,0.09,0.10,1.09
fino,5877,34.0%,5291,1.11,70.6,3.5,380,8489,0.69,0.12,0.62,0.09,0.10,1.09
Infinite,2529,51.0%,2435,1.04,76.6,5.0,164,3630,0.70,0.18,0.67,0.10,0.10,1.09
XELLOW,4334,39.6%,3918,1.11,71.7,2.1,267,6128,0.71,0.10,0.64,0.08,0.10,1.09
nbqq,3851,49.9%,3731,1.03,76.0,3.5,253,5602,0.69,0.18,0.67,0.09,0.09,1.09
Demho,4037,50.2%,3891,1.04,75.5,4.5,265,5924,0.68,0.19,0.66,0.10,0.10,1.09
HObbit,2549,49.4%,2520,1.01,76.3,5.1,168,3762,0.68,0.19,0.67,0.10,0.10,1.09
Surreal,4165,49.3%,4011,1.04,75.0,4.8,275,6084,0.68,0.20,0.66,0.11,0.11,1.09
SaMey,5458,36.1%,4906,1.11,69.6,3.7,349,7863,0.69,0.12,0.62,0.11,0.11,1.09
Neityu,4880,56.7%,4699,1.04,75.5,5.9,331,7216,0.68,0.20,0.65,0.12,0.12,1.09
Anlelele,2730,47.9%,2664,1.02,75.4,5.9,177,4010,0.68,0.20,0.66,0.10,0.12,1.09
refrezh,5614,50.6%,5192,1.08,73.6,4.8,355,8149,0.69,0.17,0.64,0.10,0.10,1.09
POLO,3043,29.3%,2784,1.09,72.1,5.0,183,4442,0.69,0.13,0.63,0.08,0.08,1.09
nosraC,3540,48.2%,3632,0.97,77.3,7.1,243,5235,0.68,0.23,0.69,0.12,0.09,1.08
s1n,3019,53.5%,2914,1.04,73.0,7.3,210,4692,0.64,0.22,0.62,0.11,0.11,1.08
bl1x1,2983,60.7%,2914,1.02,74.9,5.2,192,4387,0.68,0.19,0.66,0.12,0.12,1.08
CYPHER,4717,55.9%,4814,0.98,77.1,5.4,302,6845,0.69,0.20,0.70,0.12,0.10,1.08
hallzerk,2412,40.9%,2158,1.12,69.8,3.3,159,3552,0.68,0.13,0.61,0.11,0.12,1.08
valde,3518,51.1%,3342,1.05,75.1,8.0,234,5207,0.68,0.20,0.64,0.10,0.10,1.08
TRAVIS,2972,55.3%,2863,1.04,74.3,5.8,194,4469,0.67,0.19,0.64,0.09,0.10,1.08
nicks,2643,53.0%,2483,1.06,72.9,4.3,181,3986,0.66,0.16,0.62,0.09,0.10,1.08
tabseN,3198,53.3%,3264,0.98,78.0,9.3,211,4777,0.67,0.23,0.68,0.11,0.09,1.08
TeSeS,2680,54.6%,2626,1.02,75.9,4.3,177,3933,0.68,0.19,0.67,0.10,0.10,1.08
Kylar,2753,58.1%,2672,1.03,75.4,4.8,177,3952,0.70,0.17,0.68,0.10,0.10,1.08
brnz4n,3916,60.5%,3898,1.00,73.6,5.2,265,5911,0.66,0.19,0.66,0.12,0.11,1.08
ZEDKO,6124,62.9%,6060,1.01,76.0,4.3,394,8794,0.70,0.18,0.69,0.10,0.09,1.08
acoR,2673,35.7%,2428,1.10,70.5,4.1,180,3904,0.68,0.13,0.62,0.09,0.11,1.08
adamS,3109,40.3%,3133,0.99,76.3,5.5,203,4616,0.67,0.20,0.68,0.11,0.12,1.08
Ryujin,3151,58.8%,3063,1.03,74.5,3.8,203,4572,0.69,0.18,0.67,0.12,0.13,1.08
